abbr_my	abbr_iast	entry_my	work	list	list_es	list_no	note_en	note_es	pdf_page	status
စရိယာ	cariyā	စရိယာပိဋက ပါဠိတော်။ (က။ ၃၃)	Cariyāpiṭaka	Pāḷi	Pāḷi	33			95	drafted
စရိယာ၊ ဋ္ဌ	cariyā ṭṭha	စရိယာပိဋက အဋ္ဌကထာ။ (ခ။ ၃၆)	Cariyāpiṭaka Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	36			95	drafted
စူဠနိ	cūl̤ani	စူဠနိဒ္ဒေသ ပါဠိတော်။ (က။ ၃၅)	Cūḷaniddesa	Pāḷi	Pāḷi	35			95	drafted
စူဠနိ၊ ဋ္ဌ	cūl̤ani ṭṭha	စူဠနိဒ္ဒေသ အဋ္ဌကထာ။ (ခ။ ၄၅)	Cūḷaniddesa Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	45			95	drafted
ဇာ	jā	ဇာတ် ပါဠိတော်။ (က။ ၃၆၊ ၃၇) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Jātaka	Pāḷi	Pāḷi	36, 37	2 vols.	2 vols.	95	drafted
ဇာ၊ ဋ္ဌ	jā ṭṭha	ဇာတ် အဋ္ဌကထာ။ (ခ။ ၃၇....၄၃) ၁။ ပဌမအုပ်။....၇။ သတ္တမအုပ်။	Jātaka Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	37–43	7 vols.	7 vols.	95	drafted
ဇာ၊ သျ	jā sya	ဇာတ် ပါဠိတော် နိသျ။ (ဃ။ ၃၀၊ ၃၁၊ ၃၂၊ ၃၃) ၁။ ပဌမအုပ်။....၅။ ပဉ္စမအုပ်။	Jātaka nissaya	Pāḷi nissaya	Nissaya del pāḷi	30, 31, 32, 33	5 vols. (four list numbers printed)	5 vols. (se imprimen cuatro números de lista)	95	drafted
ထေရ	thera	ထေရဂါထာ ပါဠိတော်။ (က။ ၃၁)	Theragāthā	Pāḷi	Pāḷi	31			95	drafted
ထေရ၊ ဋ္ဌ	thera ṭṭha	ထေရဂါထာ အဋ္ဌကထာ။ (ခ။ ၃၀၊ ၃၁) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Theragāthā Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	30, 31	2 vols.	2 vols.	95	drafted
ထေရီ	therī	ထေရီဂါထာ ပါဠိတော်။ (က။ ၃၁)	Therīgāthā	Pāḷi	Pāḷi	31			95	drafted
ထေရီ၊ ဋ္ဌ	therī ṭṭha	ထေရီဂါထာ အဋ္ဌကထာ။ (ခ။ ၃၂)	Therīgāthā Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	32			95	drafted
ထောမ	thoma	သဒ္ဒတ္ထောမ မဟာနိဓိ သက္ကတအဘိဓာန်။ (ဆ။ ၁၁)	Śabdastomamahānidhi (Sanskrit dictionary)	Foreign works	Obras extranjeras	11			95	drafted
ဒီ	dī	ဒီဃနိကာယ် ပါဠိတော်။ (က။ ၆၊ ၇၊ ၈) ၁။ သီလက္ခန် ပါဠိတော်။ ၂။ သုတ်မဟာဝါ ပါဠိတော်။ ၃။ ပါထိက ပါဠိတော်။	Dīgha Nikāya	Pāḷi	Pāḷi	6, 7, 8	1 Sīlakkhandha, 2 Mahāvagga, 3 Pāthika	1 Sīlakkhandha, 2 Mahāvagga, 3 Pāthika	95	drafted
ဒီ၊ ဋီ	dī ṭī	ဒီဃနိကာယ် အဋ္ဌကထာ၏ အဖွင့်ဋီကာ။ (ဂ။ ၇၊ ၁၀၊ ၁၁) ၁။ သီလက္ခန် ဋီကာဟောင်း။ ၂။ သုတ်မဟာဝါဋီကာ။ ၃။ ပါထိကဋီကာ။	Dīgha Nikāya Ṭīkā	Ṭīkā	Ṭīkā	7, 10, 11	1 Sīlakkhandha old ṭīkā, 2 Mahāvagga, 3 Pāthika	1 Sīlakkhandha ṭīkā antigua, 2 Mahāvagga, 3 Pāthika	95	drafted
ဒီ၊ ဋ္ဌ	dī ṭṭha	ဒီဃနိကာယ် အဋ္ဌကထာ။ (ခ။ ၅၊ ၆၊ ၇) ၁။ သီလက္ခန် အဋ္ဌကထာ။ ၂။ သုတ်မဟာဝါ အဋ္ဌကထာ။ ၃။ ပါထိက အဋ္ဌကထာ။	Dīgha Nikāya Aṭṭhakathā (Sumaṅgalavilāsinī)	Aṭṭhakathā	Aṭṭhakathā	5, 6, 7	1 Sīlakkhandha, 2 Mahāvagga, 3 Pāthika	1 Sīlakkhandha, 2 Mahāvagga, 3 Pāthika	95	drafted
ဒီပဝံ	dīpavaṁ	ဒီပဝံသ။ (စ။ ၂၈) ပရိစ္ဆေဒ၊ ဂါထာ။	Dīpavaṁsa	Ganthantara	Ganthantara	28	cited by chapter, verse	citado por capítulo, estrofa	95	drafted
ဓမ္မ	dhamma	ဓမ္မပဒ ပါဠိတော်။ (က။ ၃၀)	Dhammapada	Pāḷi	Pāḷi	30			95	drafted
ဓမ္မ၊ ဋ္ဌ	dhamma ṭṭha	ဓမ္မပဒအဋ္ဌကထာ။ (က၊ ၃၀) (ခ၊ ၂၂၊ ၂၃) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Dhammapada Aṭṭhakathā	Pāḷi	Pāḷi	30	2 vols.	2 vols.	95	drafted
ဓာန်	dhān	အဘိဓာန် (အဘိဓာနပ္ပဒီပိကာ) (စ။ ၃) ဂါထာနံပါတ်။	Abhidhānappadīpikā	Ganthantara	Ganthantara	3	cited by verse number	citado por número de estrofa	95	drafted
ဓာန်၊ ဋီ	dhān ṭī	အဘိဓာန်ဋီကာ။ (စ။ ၄) ဂါထာနံပါတ်။	Abhidhānappadīpikā Ṭīkā	Ganthantara	Ganthantara	4	cited by verse number	citado por número de estrofa	95	drafted
ဓာန်၊ ဋီ၊ သျ	dhān ṭī sya	အဘိဓာန်ဋီကာနိသျ။ (စ။ ၅၊ ၆) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Abhidhānappadīpikā Ṭīkā nissaya	Ganthantara	Ganthantara	5, 6	2 vols.	2 vols.	95	drafted
ဓာန်၊ သျ	dhān sya	အဘိဓာန်နိသျ။ (စ။ ၇)	Abhidhānappadīpikā nissaya	Ganthantara	Ganthantara	7			95	drafted
ဓာန်၊ သျ၊ သစ်	dhān sya sac	အဘိဓာန်နိသျသစ်။ (စ။ ၈)	Abhidhānappadīpikā, new nissaya	Ganthantara	Ganthantara	8			95	drafted
နီတိ၊ ဓာ	nīti dhā	သဒ္ဒနီတိ၊ ဓာတုမာလာ။ (စ။ ၈၁)	Saddanīti, Dhātumālā	Ganthantara	Ganthantara	81			96	drafted
နီတိ၊ ပဒ	nīti pada	သဒ္ဒနီတိ ပဒမာလာ။ (စ။ ၈၂)	Saddanīti, Padamālā	Ganthantara	Ganthantara	82			96	drafted
နီတိ၊ သုတ္တ	nīti sutta	သဒ္ဒနီတိ သုတ္တမာလာ။ (စ။ ၈၃) သုတ်နံပါတ်။	Saddanīti, Suttamālā	Ganthantara	Ganthantara	83	cited by sutta number	citado por número de sutta	96	drafted
နေတ္တိ	netti	နေတ္တိပါဠိတော်။ (က။ ၃၉)	Netti	Pāḷi	Pāḷi	39			96	drafted
နေတ္တိ၊ ဋ္ဌ	netti ṭṭha	နေတ္တိအဋ္ဌကထာ။ (ခ။ ၄၅)	Netti Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	45			96	drafted
ပဋိ၊ သံ	paṭi saṁ	ပဋိသမ္ဘိဒါမဂ်ပါဠိတော်။ (က။ ၃၈)	Paṭisambhidāmagga	Pāḷi	Pāḷi	38			96	drafted
ပဋိသံ၊ ဋ္ဌ	paṭisaṁ ṭṭha	ပဋိသမ္ဘိဒါမဂ်အဋ္ဌကထာ။ (ခ။ ၄၆) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Paṭisambhidāmagga Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	46	2 vols.	2 vols.	96	drafted
ပဋ္ဌာန	paṭṭhāna	ပဋ္ဌာန်းပါဠိတော်။ (က။ ၂၅....၂၉) ၁။ ပဌမအုပ်။....၅။ ပဉ္စမအုပ်။	Paṭṭhāna	Pāḷi	Pāḷi	25–29	5 vols.	5 vols.	96	drafted
ပဋ္ဌာန်းကောက်	paṭṭhānḥkok	တိကပဋ္ဌာန်းအရကောက်။ (စ။ ၃၇)	Tika-Paṭṭhāna, summary (arakauk)	Ganthantara	Ganthantara	37			96	drafted
ပါ	pā	ပါဏိနိ သက္ကတဗျာကရုဏ်း။ (ဆ။ ၁၉) ပါဒ၊ အဇ္ဈာယ၊ သုတ်။	Pāṇini (Sanskrit grammar)	Foreign works	Obras extranjeras	19	cited by pāda, adhyāya, sūtra	citado por pāda, adhyāya, sūtra	96	drafted
ပါစိတ်၊ ယော	pācit yo	ပါစိတျာဒိယောဇနာ။ (စ။ ၄၀၊ ၄၁) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Pācittiyādi-yojanā	Ganthantara	Ganthantara	40, 41	2 vols.	2 vols.	96	drafted
ပါရာ၊ ဂဏ္ဌိသစ်	pārā gaṇṭhisac	ပါရာဇိကဏ် အဋ္ဌကထာ ဂဏ္ဌိသစ်။ (စ။ ၄၂၊ ၄၃)	Pārājikakaṇḍa Aṭṭhakathā, new Gaṇṭhi	Ganthantara	Ganthantara	42, 43			96	drafted
ပေတ	peta	ပေတဝတ္ထုပါဠိတော်။ (က။ ၃၁)	Petavatthu	Pāḷi	Pāḷi	31			96	drafted
ပေတ၊ ဋ္ဌ	peta ṭṭha	ပေတဝတ္ထုအဋ္ဌကထာ။ (ခ။ ၂၉)	Petavatthu Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	29			96	drafted
ဗုဒ္ဓဝံ	buddhavaṁ	ဗုဒ္ဓဝံသပါဠိတော်။ (က။ ၃၃)	Buddhavaṁsa	Pāḷi	Pāḷi	33			96	drafted
ဗုဒ္ဓဝံ၊ ဋ္ဌ	buddhavaṁ ṭṭha	ဗုဒ္ဓဝံသအဋ္ဌကထာ။ (ခ။ ၃၅)	Buddhavaṁsa Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	35			96	drafted
မ	ma	မဇ္ဈိမနိကာယ်ပါဠိတော်။ (က။ ၉၊ ၁၀၊ ၁၁) ၁။ မူလပဏ္ဏာသ။ ၂။ မဇ္ဈိမပဏ္ဏာသ။ ၃။ ဥပရိပဏ္ဏာသ။	Majjhima Nikāya	Pāḷi	Pāḷi	9, 10, 11	1 Mūlapaṇṇāsa, 2 Majjhimapaṇṇāsa, 3 Uparipaṇṇāsa	1 Mūlapaṇṇāsa, 2 Majjhimapaṇṇāsa, 3 Uparipaṇṇāsa	96	drafted
မဏိမဉ္ဇူ	maṇimañjū	မဏိသာရမဉ္ဇူသာဋီကာ။ (စ။ ၄၇၊ ၄၈) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Maṇisāramañjūsā Ṭīkā	Ganthantara	Ganthantara	47, 48	2 vols.	2 vols.	96	drafted
မ၊ ဋီ	ma ṭī	မဇ္ဈိမနိကာယ် အဋ္ဌကထာ၏အဖွင့်ဋီကာ။ (ဂ။ ၁၂၊ ၁၃၊ ၁၄) ၁။ ပဌမအုပ်။....၃။ တတိယအုပ်။	Majjhima Nikāya Ṭīkā	Ṭīkā	Ṭīkā	12, 13, 14	3 vols.	3 vols.	96	drafted
မ၊ ဋ္ဌ	ma ṭṭha	မဇ္ဈိမနိကာယ် အဋ္ဌကထာ။ (ခ။ ၈၊ ၉၊ ၁၀၊ ၁၁) ၁။ ပဌမအုပ်။....၄။ စတုတ္ထအုပ်။	Majjhima Nikāya Aṭṭhakathā (Papañcasūdanī)	Aṭṭhakathā	Aṭṭhakathā	8, 9, 10, 11	4 vols.	4 vols.	96	drafted
မဟာနိ	mahāni	မဟာနိဒ္ဒေသပါဠိတော်။ (က။ ၃၄)	Mahāniddesa	Pāḷi	Pāḷi	34			96	drafted
မဟာနိ၊ ဋ္ဌ	mahāni ṭṭha	မဟာနိဒ္ဒေသအဋ္ဌကထာ။ (ခ။ ၄၄)	Mahāniddesa Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	44			96	drafted
မဟာဝံ	mahāvaṁ	မဟာဝံသ၊ လန်ဒန်မူ။ ပရိစ္ဆေဒ၊ ဂါထာ။	Mahāvaṁsa, London edition				cited by chapter, verse	citado por capítulo, estrofa	96	drafted
မဟာဝံ၊ ဋီ	mahāvaṁ ṭī	မဟာဝံသဋီကာ၊ လန်ဒန်မူ။ ပရိစ္ဆေဒ၊ ဂါထာ။	Mahāvaṁsa Ṭīkā, London edition				cited by chapter, verse	citado por capítulo, estrofa	96	drafted
မူလဋီ	mūlaṭī	အဘိဓမ္မာအဋ္ဌကထာ ၃-စောင်၏အဖွင့် မူလဋီကာ။ (ဂ။ ၂၀၊ ၂၁၊ ၂၂) ၁။ ဓမ္မသင်္ဂဏီ မူလဋီကာ။ ၂။ ဝိဘင်းမူလဋီကာ။ ၃။ ပဉ္စပကရဏ မူလဋီကာ။	Abhidhamma Mūlaṭīkā	Ṭīkā	Ṭīkā	20, 21, 22	1 Dhammasaṅgaṇī, 2 Vibhaṅga, 3 Pañcapakaraṇa; same list numbers as the Anuṭīkā	1 Dhammasaṅgaṇī, 2 Vibhaṅga, 3 Pañcapakaraṇa; mismos números de lista que la Anuṭīkā	96	drafted
မောဂ်	mog	မောဂ္ဂလ္လာန်သဒ္ဒါကျမ်း။ (စ။ ၅၅) ကဏ္ဍ၊ သုတ်။	Moggallāna grammar	Ganthantara	Ganthantara	55	cited by kaṇḍa, sutta	citado por kaṇḍa, sutta	96	drafted
မောဂ်၊ နိသျ	mog nisya	မောဂ္ဂလ္လာန်နိသျ။ (စ။ ၅၆၊ ၅၇) ကဏ္ဍ၊ သုတ်။	Moggallāna nissaya	Ganthantara	Ganthantara	56, 57	cited by kaṇḍa, sutta	citado por kaṇḍa, sutta	96	drafted
ယမက	yamaka	ယမိုက်ပါဠိတော်။ (က။ ၂၂၊ ၂၃၊ ၂၄)	Yamaka	Pāḷi	Pāḷi	22, 23, 24	3 vols.	3 vols.	96	drafted
ယမိုက်ကောက်	yamiukkok	ယမိုက်ဆယ်ကျမ်းအရကောက်။ (စ။ ၅၆)	Yamaka, summary of the ten books (arakauk)	Ganthantara	Ganthantara	56	list number as printed (56, also given to Moggallāna nissaya)	número de lista tal como se imprime (56, dado también al nissaya de Moggallāna)	97	drafted
ရူ	rū	ပဒရူပသိဒ္ဓိ။ (စ။ ၆၁) သုတ်နံပါတ်။	Padarūpasiddhi	Ganthantara	Ganthantara	61	cited by sutta number	citado por número de sutta	97	drafted
ရူ၊ ဋီ	rū ṭī	ပဒရူပသိဒ္ဓိဋီကာ။ (စ။ ၆၂)	Padarūpasiddhi Ṭīkā	Ganthantara	Ganthantara	62			97	drafted
ဝဇိရ	vajira	ဝဇိရဗုဒ္ဓိဋီကာ။ (ဂ။ ၁)	Vajirabuddhi Ṭīkā	Ṭīkā	Ṭīkā	1			97	drafted
ဝါစပ္ပတိ	vācappati	ဝါစပ္ပတိ သက္ကတအဘိဓာန်။ (ဆ။ ၁၀)	Vācaspatya (Sanskrit dictionary)	Foreign works	Obras extranjeras	10			97	drafted
ဝိ	vi	ဝိနည်းပါဠိတော်။ (က၊ ၁....၅) ၁။ ပါရာဇိကဏ်။ ၂။ ပါစိတ်။ ၃။ မဟာဝါ။ ၄။ စူဠဝါ။ ၅။ ပရိဝါ။	Vinaya Piṭaka	Pāḷi	Pāḷi	1–5	1 Pārājika, 2 Pācittiya, 3 Mahāvagga, 4 Cūḷavagga, 5 Parivāra	1 Pārājika, 2 Pācittiya, 3 Mahāvagga, 4 Cūḷavagga, 5 Parivāra	97	drafted
ဝိ၊ ဋ္ဌ	vi ṭṭha	ဝိနည်းအဋ္ဌကထာ၊ (ခ။ ၁....၄) ၁။ ပါရာဇိကဏ် ပဌမအုပ်။ ၂။ ၎င်း ဒုတိယအုပ်။ ၃။ ပါစိတျာဒိ။ ၄။ စူဠဝဂ္ဂါဒိ။	Vinaya Aṭṭhakathā (Samantapāsādikā)	Aṭṭhakathā	Aṭṭhakathā	1–4	1–2 Pārājika, 3 Pācittiyādi, 4 Cūḷavaggādi	1–2 Pārājika, 3 Pācittiyādi, 4 Cūḷavaggādi	97	drafted
ဝိဘာဝိနီ	vibhāvinī	အဘိဓမ္မတ္ထသင်္ဂဟ (သင်္ဂြိုဟ်) ကျမ်း၏အဖွင့် ဋီကာကျော်။	Abhidhammatthavibhāvinī				the well-known ṭīkā on the Abhidhammatthasaṅgaha	la conocida ṭīkā del Abhidhammatthasaṅgaha	97	drafted
ဝိမတိ	vimati	ဝိမတိဝိနောဒနီဋီကာ (ဂ။ ၅၊ ၆) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Vimativinodanī Ṭīkā	Ṭīkā	Ṭīkā	5, 6	2 vols.	2 vols.	97	drafted
ဝိမာန	vimāna	ဝိမာနဝတ္ထုပါဠိတော်။ (က။ ၃၁)	Vimānavatthu	Pāḷi	Pāḷi	31			97	drafted
ဝိမာန၊ ဋ္ဌ	vimāna ṭṭha	ဝိမာနဝတ္ထုအဋ္ဌကထာ။ (ခ။ ၂၈)	Vimānavatthu Aṭṭhakathā	Aṭṭhakathā	Aṭṭhakathā	28			97	drafted
ဝိသုဒ္ဓိ	visuddhi	ဝိသုဒ္ဓိမဂ်အဋ္ဌကထာ။ (ခ။ ၄၈၊ ၄၉) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Visuddhimagga	Aṭṭhakathā	Aṭṭhakathā	48, 49	2 vols.	2 vols.	97	drafted
ဝိသုဒ္ဓိ၊ ဋီ	visuddhi ṭī	ဝိသုဒ္ဓိမဂ် မဟာဋီကာ။ (ဂ။ ၂၃၊ ၂၄) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Visuddhimagga Mahāṭīkā	Ṭīkā	Ṭīkā	23, 24	2 vols.	2 vols.	97	drafted
ဝိလျံ	vilyaṁ	ဆာမိုနီယာဝီလျံ၏ သက္ကတအင်္ဂလိပ်အဘိဓာန်။ (ဆ။ ၆)	Monier-Williams, Sanskrit–English Dictionary	Foreign works	Obras extranjeras	6			97	drafted
သံ	saṁ	သံယုတ်ပါဠိတော်။ (က။ ၁၂၊ ၁၃၊ ၁၄) ၁။ ပဌမအုပ်။....၃။ တတိယအုပ်။	Saṁyutta Nikāya	Pāḷi	Pāḷi	12, 13, 14	3 vols.	3 vols.	97	drafted
သံ၊ ဋီ	saṁ ṭī	သံယုတ်ဋီကာ။ (ဂ။ ၁၅၊ ၁၆) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။	Saṁyutta Ṭīkā	Ṭīkā	Ṭīkā	15, 16	2 vols.	2 vols.	97	drafted
သံ၊ ဋ္ဌ	saṁ ṭṭha	သံယုတ်အဋ္ဌကထာ။ (ခ။ ၁၂၊ ၁၃၊ ၁၄) ၁။ ပဌမအုပ်။....၃။ တတိယအုပ်။	Saṁyutta Aṭṭhakathā (Sāratthappakāsinī)	Aṭṭhakathā	Aṭṭhakathā	12, 13, 14	3 vols.	3 vols.	97	drafted
သင်္ဂဟ	saṅgaha	အဘိဓမ္မတ္ထသင်္ဂဟမည်သော လက်သန်းအဋ္ဌကထာ၊ သင်္ဂြိုဟ်။	Abhidhammatthasaṅgaha				"the ""little-finger commentary"", Saṅgaha"	el «comentario del meñique», Saṅgaha	97	drafted
သာရတ္ထ	sārattha	သာရတ္ထဒီပနီဋီကာ။ (ဂ။ ၂-၄) ၁။ ပဌမအုပ်။ ၂။ ဒုတိယအုပ်။ ၃။ တတိယအုပ်။	Sāratthadīpanī Ṭīkā	Ṭīkā	Ṭīkā	2-4	3 vols.	3 vols.	97	drafted
