term	articles	proposal
udayabbaya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhaccakukkucca	8	keep in Pāḷi (drafts); IEBH to fix a rendering
upasagga	8	keep in Pāḷi (drafts); IEBH to fix a rendering
vipāka	8	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphala	7	keep in Pāḷi (drafts); IEBH to fix a rendering
dutiyāvibhatti	7	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	7	keep in Pāḷi (drafts); IEBH to fix a rendering
kammajarūpa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nāga	7	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpada	7	keep in Pāḷi (drafts); IEBH to fix a rendering
ubhatobhāgavimutta	7	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārabhāvanā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
bhaṅga	6	keep in Pāḷi (drafts); IEBH to fix a rendering
cetasika	6	keep in Pāḷi (drafts); IEBH to fix a rendering
duka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
indriya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
maggaphala	6	keep in Pāḷi (drafts); IEBH to fix a rendering
mahābhūta	6	keep in Pāḷi (drafts); IEBH to fix a rendering
paccekabuddha	6	keep in Pāḷi (drafts); IEBH to fix a rendering
phala	6	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁsāra	6	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁyojana	6	keep in Pāḷi (drafts); IEBH to fix a rendering
therī	6	keep in Pāḷi (drafts); IEBH to fix a rendering
tika	6	keep in Pāḷi (drafts); IEBH to fix a rendering
upamā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhindriya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhāsambojjhaṅga	6	keep in Pāḷi (drafts); IEBH to fix a rendering
upādiṇṇaka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
upādiṇṇakarūpa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭadukkha	6	keep in Pāḷi (drafts); IEBH to fix a rendering
vedanā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
ṭhiti	6	keep in Pāḷi (drafts); IEBH to fix a rendering
appanā	5	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyamagga	5	keep in Pāḷi (drafts); IEBH to fix a rendering
atta	5	keep in Pāḷi (drafts); IEBH to fix a rendering
chanda	5	keep in Pāḷi (drafts); IEBH to fix a rendering
saddattha	5	keep in Pāḷi (drafts); IEBH to fix a rendering
santāna	5	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāra	5	keep in Pāḷi (drafts); IEBH to fix a rendering
udakukkhepasīmā	5	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhumātaka	5	keep in Pāḷi (drafts); IEBH to fix a rendering
uddāna	5	keep in Pāḷi (drafts); IEBH to fix a rendering
upasamādhiṭṭhāna	5	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnakhandha	5	keep in Pāḷi (drafts); IEBH to fix a rendering
vinaya	5	keep in Pāḷi (drafts); IEBH to fix a rendering
āpatti	5	keep in Pāḷi (drafts); IEBH to fix a rendering
adhippāyattha	4	keep in Pāḷi (drafts); IEBH to fix a rendering
adhiṭṭhāna	4	keep in Pāḷi (drafts); IEBH to fix a rendering
appanāsamādhi	4	keep in Pāḷi (drafts); IEBH to fix a rendering
arahant	4	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavatti	4	keep in Pāḷi (drafts); IEBH to fix a rendering
dhātu	4	keep in Pāḷi (drafts); IEBH to fix a rendering
dutiyā	4	keep in Pāḷi (drafts); IEBH to fix a rendering
dvāra	4	keep in Pāḷi (drafts); IEBH to fix a rendering
kuṭi	4	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmaguṇa	4	keep in Pāḷi (drafts); IEBH to fix a rendering
lobha	4	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmapaññatti	4	keep in Pāḷi (drafts); IEBH to fix a rendering
parinibbāna	4	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpatti	4	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁvega	4	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsana	4	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhādiṭṭhi	4	keep in Pāḷi (drafts); IEBH to fix a rendering
tejodhātu	4	keep in Pāḷi (drafts); IEBH to fix a rendering
ubhatobyañjana	4	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhamāghātana	4	keep in Pāḷi (drafts); IEBH to fix a rendering
upapattibhava	4	keep in Pāḷi (drafts); IEBH to fix a rendering
upapāta	4	keep in Pāḷi (drafts); IEBH to fix a rendering
upaya	4	keep in Pāḷi (drafts); IEBH to fix a rendering
upādiṇṇa	4	keep in Pāḷi (drafts); IEBH to fix a rendering
vitakka	4	keep in Pāḷi (drafts); IEBH to fix a rendering
āvajjana	4	keep in Pāḷi (drafts); IEBH to fix a rendering
anāgāmī	3	keep in Pāḷi (drafts); IEBH to fix a rendering
appanābhāvanā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
appanājjhāna	3	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattamagga	3	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpadhātu	3	keep in Pāḷi (drafts); IEBH to fix a rendering
bhava	3	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvanā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
bodhisatta	3	keep in Pāḷi (drafts); IEBH to fix a rendering
brahmā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhu	3	keep in Pāḷi (drafts); IEBH to fix a rendering
catutthajhāna	3	keep in Pāḷi (drafts); IEBH to fix a rendering
cetiya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
cittuppāda	3	keep in Pāḷi (drafts); IEBH to fix a rendering
deva	3	keep in Pāḷi (drafts); IEBH to fix a rendering
etadagga	3	keep in Pāḷi (drafts); IEBH to fix a rendering
gatinimitta	3	keep in Pāḷi (drafts); IEBH to fix a rendering
kammanimitta	3	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyasaṁsaggarāga	3	keep in Pāḷi (drafts); IEBH to fix a rendering
moha	3	keep in Pāḷi (drafts); IEBH to fix a rendering
nipāta	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ojā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
palibodha	3	keep in Pāḷi (drafts); IEBH to fix a rendering
phalasamāpatti	3	keep in Pāḷi (drafts); IEBH to fix a rendering
phassa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
pāramī	3	keep in Pāḷi (drafts); IEBH to fix a rendering
pārājika	3	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpadhātu	3	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpakāya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpanāma	3	keep in Pāḷi (drafts); IEBH to fix a rendering
sāmaṇera	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ubbegapīti	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ubbāhikakammavācā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
udayabbayānupassanā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhambhāgiya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhambhāgiyasaṁyojana	3	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhumātakapaṭibhāganimitta	3	keep in Pāḷi (drafts); IEBH to fix a rendering
upahaccaparinibbāyī	3	keep in Pāḷi (drafts); IEBH to fix a rendering
upalakkhaṇa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
upasampadakamma	3	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhājhāna	3	keep in Pāḷi (drafts); IEBH to fix a rendering
uppanna	3	keep in Pāḷi (drafts); IEBH to fix a rendering
upāsikā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
viriya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
yakkha	3	keep in Pāḷi (drafts); IEBH to fix a rendering
abhiññā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
anuloma	2	keep in Pāḷi (drafts); IEBH to fix a rendering
anusaya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
apāya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyasāvaka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
assāsapassāsa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
attattaniya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
aṭṭhaṅgasīla	2	keep in Pāḷi (drafts); IEBH to fix a rendering
aṭṭhaṅguposathasīla	2	keep in Pāḷi (drafts); IEBH to fix a rendering
bhikkhunī	2	keep in Pāḷi (drafts); IEBH to fix a rendering
bhikkhunīsaṅgha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
bhikkhusaṅgha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
byañjana	2	keep in Pāḷi (drafts); IEBH to fix a rendering
chaḷaṅgupekkhā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
codanā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
cuti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammābhisamaya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
dāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ekaggatā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ekuppādatā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
iddhipāda	2	keep in Pāḷi (drafts); IEBH to fix a rendering
jarāmaraṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
jhānaṅga	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kammajatejo	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kammajatejodhātu	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kammakattā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kammavācā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kathina	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kaṭattārūpa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kaṭhina	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kuṭī	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyagatāsati	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyapasāda	2	keep in Pāḷi (drafts); IEBH to fix a rendering
lokiyavipāka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
lokiyavipākanāmakkhandha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
mahaggata	2	keep in Pāḷi (drafts); IEBH to fix a rendering
mettā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
nidāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
nidānuddesa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paccavekkhaṇā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paccaya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
parikamma	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pathavī	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paviveka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
payoga	2	keep in Pāḷi (drafts); IEBH to fix a rendering
peta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
phalūpacāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pādakajjhāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pāṭihāriya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpakkhandha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpārammaṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sambodhi	2	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāraloka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
somanassa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
somanassavedanā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
suddhāvāsa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sugati	2	keep in Pāḷi (drafts); IEBH to fix a rendering
tadaṅgavimutti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
tebhūmaka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uddesamātikā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhaccasahagata	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhaṁsota akaniṭṭhagāmī	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhumātakasaññā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upacchedaka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārakammaṭṭhāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upadhisampatti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upaghātaka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upaghātakakamma	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upakkilesa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upapajjavedanīyakamma	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upapīḷakakamma	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upasampadākamma	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upatthambhaka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upavicāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upaṭṭhāka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhāekaggatā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhānimitta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhāpāramī	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnarūpa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upādāniya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upādāpaññatti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upāyāsa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
usūyapaṇḍaka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uyyuttasenāsikkhāpada	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uyyuttasikkhāpada	2	keep in Pāḷi (drafts); IEBH to fix a rendering
veyyāvacca	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vibhaṅga	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vicāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vikkhambhanavimutti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vimutti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vimāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
visayī	2	keep in Pāḷi (drafts); IEBH to fix a rendering
visesana	2	keep in Pāḷi (drafts); IEBH to fix a rendering
visuddhi	2	keep in Pāḷi (drafts); IEBH to fix a rendering
yogī	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āghātavatthu	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āsava	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatana	2	keep in Pāḷi (drafts); IEBH to fix a rendering
abhedabhedūpacāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
abhidhamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
abhinivesa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
abyayībhāvasamāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
aggasāvaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
aggasāvikā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
akusalavipāka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
alajjī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
amanasikāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anicca	1	keep in Pāḷi (drafts); IEBH to fix a rendering
aniccalakkhaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anupādānarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anussati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
appanāpaññā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattamaggaphala	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyamaggaphala	1	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpajjhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
arūparāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
asaṅkhyeyyakappa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
asubhanimitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
attapaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
atthuppatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
avijjā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bahiddhā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bahubbīhisamāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhavagga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhavaṅga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhikkhu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvanāsamādhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāvappadhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāṇavāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūmi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bodhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bodhipakkhiya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
byādhidukkha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
byāpāda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhusamphassa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhusamphassajā vedanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhāyatana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
catudhātuvavatthāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
chandarāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cittajarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cittapassaddhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cutinimitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cāritta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cātumahārājika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dahara	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dhamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammānusārī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
domanassa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
domanassindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
duggati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkaṭāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkhindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dutiyābahuvacanavibhatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dutiyāekavacanavibhatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dvanda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ekantalomī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
gandhārammaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
gati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
gocaratta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
gotrabhu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
hetu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
itthinimitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
janaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
jarā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
javana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
jhānajavana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
jīvitindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kabaḷīkārāhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kalalarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kalyāṇamitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kammadhārayasamāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kammajapathavīdhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kappa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kasiṇanimitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kasiṇarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
khanti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
khaṇattaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesasīsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyāmanoviññāṇadhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kitantasamāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kodha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kosallañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kukkucca	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kusalavipāka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmabhava	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmarāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmataṇhā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyakamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyapassaddhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyappasāda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyavacīdvāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyaviññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
liṅga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lokadhamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lokiyakamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lokuttaravipāka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lokāmisa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
līnuddhacca	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggaphalasamādhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
mahaggatakamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
mahāpurisalakkhaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
majjhima	1	keep in Pāḷi (drafts); IEBH to fix a rendering
manasikāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
manodhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
manodvāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
