term	articles	proposal
pariyatti	8	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpatti	8	keep in Pāḷi (drafts); IEBH to fix a rendering
vasībhāva	8	keep in Pāḷi (drafts); IEBH to fix a rendering
vinaya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
ādhāra	8	keep in Pāḷi (drafts); IEBH to fix a rendering
āghātavatthu	8	keep in Pāḷi (drafts); IEBH to fix a rendering
āraññakaṅga	8	keep in Pāḷi (drafts); IEBH to fix a rendering
āsevanapaccaya	8	keep in Pāḷi (drafts); IEBH to fix a rendering
ariya	7	keep in Pāḷi (drafts); IEBH to fix a rendering
dvāra	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nimitta	7	keep in Pāḷi (drafts); IEBH to fix a rendering
nīvaraṇa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
pārājika	7	keep in Pāḷi (drafts); IEBH to fix a rendering
uggahanimitta	7	keep in Pāḷi (drafts); IEBH to fix a rendering
uttarimanussadhamma	7	keep in Pāḷi (drafts); IEBH to fix a rendering
vedanā	7	keep in Pāḷi (drafts); IEBH to fix a rendering
āpokasiṇa	7	keep in Pāḷi (drafts); IEBH to fix a rendering
abhiññā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
bhava	6	keep in Pāḷi (drafts); IEBH to fix a rendering
cetiya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
dhātu	6	keep in Pāḷi (drafts); IEBH to fix a rendering
iddhipāda	6	keep in Pāḷi (drafts); IEBH to fix a rendering
javana	6	keep in Pāḷi (drafts); IEBH to fix a rendering
jātaka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyā	6	keep in Pāḷi (drafts); IEBH to fix a rendering
lokuttara	6	keep in Pāḷi (drafts); IEBH to fix a rendering
payoga	6	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgha	6	keep in Pāḷi (drafts); IEBH to fix a rendering
tebhūmaka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭa	6	keep in Pāḷi (drafts); IEBH to fix a rendering
vimāna	6	keep in Pāḷi (drafts); IEBH to fix a rendering
ābhassara	6	keep in Pāḷi (drafts); IEBH to fix a rendering
āgantuka	6	keep in Pāḷi (drafts); IEBH to fix a rendering
ālaya	6	keep in Pāḷi (drafts); IEBH to fix a rendering
abhidhamma	5	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpāvacara	5	keep in Pāḷi (drafts); IEBH to fix a rendering
bhavaṅga	5	keep in Pāḷi (drafts); IEBH to fix a rendering
icchā	5	keep in Pāḷi (drafts); IEBH to fix a rendering
itthibhāvarūpa	5	keep in Pāḷi (drafts); IEBH to fix a rendering
kabaḷīkārāhāra	5	keep in Pāḷi (drafts); IEBH to fix a rendering
nibbāna	5	keep in Pāḷi (drafts); IEBH to fix a rendering
ojā	5	keep in Pāḷi (drafts); IEBH to fix a rendering
pathavīkasiṇa	5	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭipadā	5	keep in Pāḷi (drafts); IEBH to fix a rendering
piṭaka	5	keep in Pāḷi (drafts); IEBH to fix a rendering
pīti	5	keep in Pāḷi (drafts); IEBH to fix a rendering
santāna	5	keep in Pāḷi (drafts); IEBH to fix a rendering
sati	5	keep in Pāḷi (drafts); IEBH to fix a rendering
ābhassarabrahmā	5	keep in Pāḷi (drafts); IEBH to fix a rendering
ācāra	5	keep in Pāḷi (drafts); IEBH to fix a rendering
ācārapaññatti	5	keep in Pāḷi (drafts); IEBH to fix a rendering
āmeḍita	5	keep in Pāḷi (drafts); IEBH to fix a rendering
āsaya	5	keep in Pāḷi (drafts); IEBH to fix a rendering
āvaṭṭahāra	5	keep in Pāḷi (drafts); IEBH to fix a rendering
adhigama	4	keep in Pāḷi (drafts); IEBH to fix a rendering
catutthajjhāna	4	keep in Pāḷi (drafts); IEBH to fix a rendering
cittuppāda	4	keep in Pāḷi (drafts); IEBH to fix a rendering
cuticitta	4	keep in Pāḷi (drafts); IEBH to fix a rendering
desanā	4	keep in Pāḷi (drafts); IEBH to fix a rendering
diṭṭhi	4	keep in Pāḷi (drafts); IEBH to fix a rendering
dukkaṭa	4	keep in Pāḷi (drafts); IEBH to fix a rendering
etadagga	4	keep in Pāḷi (drafts); IEBH to fix a rendering
gati	4	keep in Pāḷi (drafts); IEBH to fix a rendering
hāra	4	keep in Pāḷi (drafts); IEBH to fix a rendering
iddhi	4	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyapaccaya	4	keep in Pāḷi (drafts); IEBH to fix a rendering
maggabrahmacariya	4	keep in Pāḷi (drafts); IEBH to fix a rendering
moha	4	keep in Pāḷi (drafts); IEBH to fix a rendering
palibodha	4	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭibhāganimitta	4	keep in Pāḷi (drafts); IEBH to fix a rendering
pāramī	4	keep in Pāḷi (drafts); IEBH to fix a rendering
rāga	4	keep in Pāḷi (drafts); IEBH to fix a rendering
sacca	4	keep in Pāḷi (drafts); IEBH to fix a rendering
saddārammaṇa	4	keep in Pāḷi (drafts); IEBH to fix a rendering
sammādiṭṭhi	4	keep in Pāḷi (drafts); IEBH to fix a rendering
satipaṭṭhāna	4	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁvaṇṇanā	4	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁyojana	4	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāpattimagga	4	keep in Pāḷi (drafts); IEBH to fix a rendering
sukha	4	keep in Pāḷi (drafts); IEBH to fix a rendering
suttanta	4	keep in Pāḷi (drafts); IEBH to fix a rendering
upapattibhava	4	keep in Pāḷi (drafts); IEBH to fix a rendering
ākhyāta	4	keep in Pāḷi (drafts); IEBH to fix a rendering
ālokakasiṇa	4	keep in Pāḷi (drafts); IEBH to fix a rendering
ānantariya	4	keep in Pāḷi (drafts); IEBH to fix a rendering
āneñjasamāpatti	4	keep in Pāḷi (drafts); IEBH to fix a rendering
āpokasiṇajjhāna	4	keep in Pāḷi (drafts); IEBH to fix a rendering
āyogapaṭṭa	4	keep in Pāḷi (drafts); IEBH to fix a rendering
āṇākhetta	4	keep in Pāḷi (drafts); IEBH to fix a rendering
abhiseka	3	keep in Pāḷi (drafts); IEBH to fix a rendering
alobha	3	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
bhavagga	3	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavāḷa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
cārittasīla	3	keep in Pāḷi (drafts); IEBH to fix a rendering
jarāmaraṇa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
kammavācā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesakāma	3	keep in Pāḷi (drafts); IEBH to fix a rendering
koṭṭhāsa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmabhava	3	keep in Pāḷi (drafts); IEBH to fix a rendering
manasikāra	3	keep in Pāḷi (drafts); IEBH to fix a rendering
natthibhāvapaññatti	3	keep in Pāḷi (drafts); IEBH to fix a rendering
nissaya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
nāma	3	keep in Pāḷi (drafts); IEBH to fix a rendering
paccaya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
padaṭṭhāna	3	keep in Pāḷi (drafts); IEBH to fix a rendering
pavāraṇā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
pañcadvārāvajjana	3	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭhamāruppa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭiccasamuppāda	3	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭipatti	3	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhiviññāṇa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
phalasamāpatti	3	keep in Pāḷi (drafts); IEBH to fix a rendering
piṇḍapāta	3	keep in Pāḷi (drafts); IEBH to fix a rendering
pācittiya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpanāma	3	keep in Pāḷi (drafts); IEBH to fix a rendering
sabbaññutañāṇa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
samatha	3	keep in Pāḷi (drafts); IEBH to fix a rendering
sampajañña	3	keep in Pāḷi (drafts); IEBH to fix a rendering
sassatadiṭṭhi	3	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁsāra	3	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgāyanā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
therī	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ucchedadiṭṭhi	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ugghaṭitaññū	3	keep in Pāḷi (drafts); IEBH to fix a rendering
uṇṇaloma	3	keep in Pāḷi (drafts); IEBH to fix a rendering
uṇṇā	3	keep in Pāḷi (drafts); IEBH to fix a rendering
vatthukāma	3	keep in Pāḷi (drafts); IEBH to fix a rendering
viriya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
yogī	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ādesanāpāṭihāriya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ādheyya	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ājīvapārisuddhisīla	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ākāsadhātu	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ākāsakasiṇa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ānantarikakamma	3	keep in Pāḷi (drafts); IEBH to fix a rendering
ānāpānakammaṭṭhāna	3	keep in Pāḷi (drafts); IEBH to fix a rendering
āpattādhikaraṇa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
āraññikavatta	3	keep in Pāḷi (drafts); IEBH to fix a rendering
āvajjanavasī	3	keep in Pāḷi (drafts); IEBH to fix a rendering
āyukappa	3	keep in Pāḷi (drafts); IEBH to fix a rendering
āyusaṅkhāra	3	keep in Pāḷi (drafts); IEBH to fix a rendering
abhisaṅkhāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
abyākata	2	keep in Pāḷi (drafts); IEBH to fix a rendering
adhipati	2	keep in Pāḷi (drafts); IEBH to fix a rendering
anicca	2	keep in Pāḷi (drafts); IEBH to fix a rendering
anusaya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
anāgāmiphala	2	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphalapaññā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
arahattaphalasamādhi	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyaphala	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyasaṅgha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpabhūmi	2	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpavipāka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
asura	2	keep in Pāḷi (drafts); IEBH to fix a rendering
atthavikappa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
bala	2	keep in Pāḷi (drafts); IEBH to fix a rendering
bhavataṇhā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
bhaṅga	2	keep in Pāḷi (drafts); IEBH to fix a rendering
bodhi	2	keep in Pāḷi (drafts); IEBH to fix a rendering
brahma	2	keep in Pāḷi (drafts); IEBH to fix a rendering
brahmacariya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhāyatana	2	keep in Pāḷi (drafts); IEBH to fix a rendering
cetasikavīriya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
cetosamādhi	2	keep in Pāḷi (drafts); IEBH to fix a rendering
citta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
dhamma	2	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammakathika	2	keep in Pāḷi (drafts); IEBH to fix a rendering
dibbacakkhupaññā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
dubbhāsita	2	keep in Pāḷi (drafts); IEBH to fix a rendering
dāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
dīgha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
gatinimitta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
gocara	2	keep in Pāḷi (drafts); IEBH to fix a rendering
gotrabhū	2	keep in Pāḷi (drafts); IEBH to fix a rendering
iddhividhābhiññā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyabhāvanā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyarūpa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
itthiliṅga	2	keep in Pāḷi (drafts); IEBH to fix a rendering
itthindriya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
iṭṭhārammaṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
jhānasamāpatti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
jāti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
jīva	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kabaḷīkāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kammanimitta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kammābhisaṅkhāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kathina	2	keep in Pāḷi (drafts); IEBH to fix a rendering
khuddānukhuddaka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kilesamāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kusalakammapatha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kāma	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmabhūmi	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmupādāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmāvacara	2	keep in Pāḷi (drafts); IEBH to fix a rendering
kāraka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
mahābhūta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
mahāsīla	2	keep in Pāḷi (drafts); IEBH to fix a rendering
manodvāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
manosamphassa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
manosañcetanāhāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
methuna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
mettā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
mātughātaka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
māyā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
niggahīta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
nipāta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pabbajjā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paccayuppanna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
padapūraṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paramattha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paribbājikā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paricchedākāsa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
parinibbāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paritta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pariveṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pariyāya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pathavī	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paññāvimutti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paṁsukūla	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paṇḍaka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisambhidā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
petī	2	keep in Pāḷi (drafts); IEBH to fix a rendering
phassa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
phassāhāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
phoṭṭhabbārammaṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pārājikāpatti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pātimokkha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pāṭidesanīya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pāṭihāriya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
pītisomanassa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
rasārammaṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpakalāpa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpāvacaracatutthajjhāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sammappadhāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sammāājīva	2	keep in Pāḷi (drafts); IEBH to fix a rendering
samuṭṭhāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sassata	2	keep in Pāḷi (drafts); IEBH to fix a rendering
satta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅghupaṭṭhāka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
somanassa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sotapasāda	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāpattimaggañāṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāpattiphala	2	keep in Pāḷi (drafts); IEBH to fix a rendering
suññata	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sāṭheyya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
sīmā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
tadaṅga	2	keep in Pāḷi (drafts); IEBH to fix a rendering
thullaccaya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
titthiya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uggahapaññā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārajhāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uposatha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uppāda	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upādāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upādānakkhandha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
upāsikā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
uttamapurisa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vaccakuṭi	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vicikicchā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vijjā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vimokkha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vimutti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vīmaṁsā	2	keep in Pāḷi (drafts); IEBH to fix a rendering
vītikkama	2	keep in Pāḷi (drafts); IEBH to fix a rendering
yonisomanasikāra	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ācariyavatta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ācāravipatti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ādesa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ādīnavañāṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ādīnavānupassanāñāṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ājīvavipatti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ākāsa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ākāsanimitta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āneñja	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ānāpānanimitta	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āpattisamuṭṭhāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āpo	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āpokasiṇasamāpatti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ārammaṇādhipatipaccaya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ārammaṇūpanijjhāna	2	keep in Pāḷi (drafts); IEBH to fix a rendering
ārāmacetiya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āsavaduka	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āsavakkhaya	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āvutti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āyakosallañāṇa	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āṇatti	2	keep in Pāḷi (drafts); IEBH to fix a rendering
āṇāpātimokkha	2	keep in Pāḷi (drafts); IEBH to fix a rendering
abbhokāsika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
abhava	1	keep in Pāḷi (drafts); IEBH to fix a rendering
abhidhammā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
aggasāvaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ajjatanī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ajjhāsaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
amata	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anaññātaññassāmītindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anesana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
animittamagga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
animittavipassanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
aniṭṭha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
antarāyika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anubandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anulomapaccanīka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anulomañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anupaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
anācāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
apaccaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
appanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
appanāvīthi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
apāyabhūmi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
